date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:17	7491/7491	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/js/script.js	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/js/script.js	(from https://bachittarjeet.github.io/)
22:17:17	736/736	---M-Z	200	added ('OK')	application/x-httpd-php	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/sendEmail.php?name=	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/sendEmail49de.php	(from https://bachittarjeet.github.io/)
22:17:18	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jan%202018%2016:47:17%20GMT	http://bachittarjeet.github.io/robots.txt		(from https://bachittarjeet.github.io/)
22:17:19	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:19	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/sprite_x.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/sprite_x.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:20	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/sprite_y.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/sprite_y.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:20	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/sprite_next.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/sprite_next.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:21	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/sprite_prev.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/sprite_prev.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:22	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/default_thumb.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/default_thumb.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:22	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/default/loader.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/default/loader.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:23	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_rounded/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_rounded/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:24	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_rounded/btnNext.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_rounded/btnNext.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:24	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/light_rounded/btnPrevious.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/light_rounded/btnPrevious.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:25	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_rounded/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_rounded/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:25	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_rounded/contentPattern.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_rounded/contentPattern.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:26	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_rounded/btnNext.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_rounded/btnNext.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:26	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_rounded/btnPrevious.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_rounded/btnPrevious.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:27	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_rounded/loader.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_rounded/loader.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:27	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_square/loader.gif	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_square/loader.gif	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:28	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_square/sprite.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_square/sprite.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
22:17:28	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/images/prettyPhoto/dark_square/btnNext.png	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/prettyPhoto/dark_square/btnNext.png	(from https://bachittarjeet.github.io/css/prettyPhoto.css)
